col1;col2;col3;col4;col5;col6
0.01;0.999984;0.999934;0.999950;583277;0.011532
0.02;0.999934;0.999734;0.999800;291689;0.023060
0.03;0.999852;0.999402;0.999550;194516;0.034580
0.04;0.999736;0.998937;0.999200;145947;0.046087
0.05;0.999588;0.998339;0.998751;116819;0.057579
0.06;0.999406;0.997610;0.998202;974111;0.069050
0.07;0.999192;0.996748;0.997554;835585;0.080498
0.08;0.998945;0.995755;0.996807;731775;0.091917
0.09;0.998665;0.994632;0.995961;651110;0.103305
0.10;0.998353;0.993378;0.995017;586647;0.114656
0.11;0.998007;0.991994;0.993974;533967;0.125968
0.12;0.997630;0.990481;0.992834;490125;0.137236
0.13;0.997219;0.988840;0.991597;453081;0.148457
0.14;0.996776;0.987071;0.990264;421378;0.159626
0.15;0.996301;0.985176;0.988834;393949;0.170740
0.16;0.995794;0.983155;0.987308;369992;0.181796
0.17;0.995254;0.981010;0.985688;348894;0.192788
0.18;0.994682;0.978741;0.983973;330181;0.203715
0.19;0.994079;0.976349;0.982165;313474;0.214572
0.20;0.993443;0.973836;0.980263;298473;0.225356
0.21;0.992776;0.971202;0.978269;284935;0.236064
0.22;0.992077;0.968450;0.976184;272660;0.246691
0.23;0.991347;0.965580;0.974009;261484;0.257235
0.24;0.990585;0.962594;0.971743;251270;0.267691
0.25;0.989793;0.959494;0.969388;242902;0.278058
0.26;0.988969;0.956279;0.966946;233283;0.288332
0.27;0.988114;0.952953;0.964416;225329;0.298509
0.28;0.987229;0.949517;0.961800;217970;0.308587
0.29;0.986313;0.945972;0.959099;211145;0.318553
0.30;0.985367;0.942320;0.956314;204799;0.328433
0.31;0.984391;0.938563;0.953445;198888;0.338195
0.32;0.983385;0.934702;0.950495;193369;0.347846
0.33;0.982349;0.930740;0.947464;188209;0.357384
0.34;0.981283;0.926677;0.944353;183375;0.366806
0.35;0.980188;0.922516;0.941163;178839;0.376109
0.36;0.979064;0.918259;0.937895;174577;0.385290
0.37;0.977910;0.913908;0.934552;170567;0.394349
0.38;0.976728;0.909464;0.931133;166789;0.403281
0.39;0.975518;0.904930;0.927640;163225;0.412086
0.40;0.974279;0.900307;0.924075;159860;0.420760
0.41;0.973012;0.895597;0.920438;156679;0.429302
0.42;0.971717;0.890804;0.916731;153670;0.437711
0.43;0.970395;0.885928;0.912956;150819;0.445983
0.44;0.969045;0.880971;0.909113;148118;0.454117
0.45;0.967668;0.875936;0.905244;145555;0.462113
0.46;0.966264;0.870826;0.901230;143123;0.469967
0.47;0.964833;0.865641;0.897193;140812;0.477678
0.48;0.963376;0.860385;0.893093;138616;0.485246
0.49;0.961893;0.855059;0.888933;136528;0.492668
0.50;0.960384;0.849665;0.884714;134541;0.499944
0.51;0.958850;0.844207;0.880437;132649;0.507072
0.52;0.957290;0.838685;0.876104;130849;0.514051
0.53;0.955705;0.833102;0.871715;129133;0.520881
0.54;0.954095;0.827461;0.867273;127498;0.527559
0.55;0.952460;0.821763;0.862779;12594;0.534087
0.56;0.950802;0.816011;0.858234;124454;0.540461
0.57;0.949119;0.810206;0.853640;123038;0.546684
0.58;0.947413;0.804352;0.848999;121687;0.552752
0.59;0.945683;0.798450;0.844310;120399;0.558667
0.60;0.943931;0.792503;0.839577;11917;0.564427
0.61;0.942155;0.786512;0.834801;117998;0.570033
0.62;0.940357;0.780480;0.829982;116881;0.575483
0.63;0.938537;0.774409;0.825123;115815;0.580779
0.64;0.936694;0.768300;0.820225;114799;0.585919
0.65;0.934831;0.762158;0.815290;11333;0.590905
0.66;0.932945;0.755982;0.810318;112907;0.595735
0.67;0.931039;0.749776;0.805311;112028;0.600411
0.68;0.929112;0.743542;0.800271;111191;0.604931
0.69;0.927165;0.737281;0.795199;110394;0.609298
0.70;0.925198;0.730996;0.790097;109636;0.613510
O.71;0.923211;0.724689;0.784966;108916;0.617569
0.72;0.921204;0.718361;0.779807;108231;0.621475
0.73;0.919178;0.712016;0.774622;107581;0.625228
0.74;0.917133;0.705654;0.769412;106965;0.628829
0.75;0.915070;0.699277;0.764179;106381;0.632280
0.76;0.912989;0.692888;0.758923;105829;0.635580
0.77;0.910889;0.686489;0.753647;105307;0.638730
0.78;0.908772;0.680081;0.748352;104815;0.641732
0.79;0.906638;0.673667;0.743039;10435;0.644586
0.80;0.904486;0.667247;0.737708;103914;0.647294
0.81;0.902318;0.660824;0.732363;103504;0.6498.56
0.82;0.900134;0.654400;0.727004;103121;0.652273
0.83;0.897933;0.647977;O.72163;102762;0.654548
0.84;0.895717;0.641555;0.716248;102429;0.656680
0.85;0.893485;0.635137;0.710854;102119;0.658671
0.86;0.891239;0.628725;0.705451;101833;0.660523
0.87;0.888977;0.622319;0.700040;101569;0.662237
0.88;0.886701;0.615923;0.694623;101328;0.663813
0.89;0.884411;0.609536;0.689200;101108;0.665255
0.90;0.882106;0.603161;0.683773;10091;0.666563
0.91;0.879789;0.596799;0.678344;1007324;0.667738
0.92;0.877458;0.590452;0.672912;100575;0.668783
0.93;0.875114;0.584121;0.667480;1004376;0.669698
0.94;0.872757;0.577807;0.662048;1003195;0.670486
0.95;0.870388;0.571512;0.656617;1002206;0.671148
0.96;0.868007;0.565237;0.651189;10014037;0.671686
0.97;0.865615;0.558984;0.645765;10007851;0.672101
0.98;0.863210;0.552753;0.640345;1000347;0.672395
0.99;0.860795;0.546540;0.634931;10000863;0.672570
1.00;0.858369;0.540364;0.629524;100;0.672628
1.00;0.858369;0.540364;0.629524;100;0.672628
1.01;0.855932;0.534208;0.624124;10000854;0.672571
1.02;0.853486;0.528080;0.618733;10003399;0.672400
1.03;0.851029;0.521980;0.613352;10007609;0.672117
1.04;0.848562;0.515910;0.607981;10013462;0.671724
1.05;0.846086;0.509870;0.602621;10020936;0.671223
1.06;0.843601;0.503861;0.597274;1003001;0.670615
1.07;0.841108;0.497885;0.591940;1004066;0.669904
1.08;0.838605;0.491942;0.586619;1005288;0.669091
1.09;0.836095;0.486034;0.581314;1006663;0.668176
1.10;Q.833576;0.480160;0.576024;1008192;0.667163
1.11;0.831050;0.474323;0.570751;100987;0.666053
1.12;0.828517;0.468522;0.565494;10117;0.664849
1.13;0.825976;0.462758;0.560256;101368;0.663552
1.14;0.823429;0.457033;0.555036;10158;0.662163
1.15;0.820875;0.451347;0.549836;101808;0.660686
1.16;0.818315;0.445700;0.544656;102049;0.659122
1.17;0.815748;0.440093;0.539496;102305;0.657473
1.18;0.813176;0.434527;0.534358;102575;0.655741
1.19;0.810598;0.429002;0.529241;10286;0.653927
1.20;0.808016;0.423519;0.524148;103158;0.652034
1.21;0.805428;0.418079;0.519077;103471;0.650064
1.22;0.802835;0.412682;0.514030;103798;0.648019
1.23;0.800238;0.407327;0.509008;104138;0.645900
1.24;0.797636;0.402017;0.504010;104493;0.643709
1.25;0.795031;0.396751;0.499038;104861;0.641448
1.26;0.792422;0.391529;0.494092;105243;0.639120
1.27;0.789809;0.386352;0.489172;105639;0.636725
1.28;0.787193;0.381221;0.484278;106048;0.634266
1.29;0.784574;0.376135;0.479413;106471;0.631745
1.30;0.781953;0.371095;0.474574;106908;0.629164
1.31;0.779328;0.366100;0.469764;107359;0.626523
1.32;0.776701;0.361153;0.464983;107823;0.623826
1.33;0.774073;0.356251;0.460230;108301;0.621074
1.34;0.771442;0.351397;0.455506;108792;0.618268
1.35;0.768809;0.346589;0.450813;109298;0.615411
1.36;0.766175;0.341828;0.446149;109816;0.612503
1.37;0.763540;0.337114;0.441515;110349;0.609548
1.38;0.760904;0.332448;0.436912;110895;0.606546
1.39;0.758267;0.327829;0.432339;111455;0.603499
1.40;0.755629;0.323257;0.427798;112028;0.600409
1.41;0.752991;0.318732;0.423288;112616;0.597278
1.42;0.750353;0.314255;0.418810;113217;0.594106
1.43;0.747715;0.309826;0.414364;113832;0.590896
1.44;0.745077;0.305443;0.409949;114461;0.587650
1.45;0.742439;0.301109;0.405567;115104;0.584368
1.46;0.739801;0.296821;0.401217;11576;0.581053
1.47;0.737165;0.292581;0.396900;116431;0.577705
1.48;0.734529;0.288387;0.392615;117116;0.574327
1.49;0.731895;0.284241;0.388364;117815;0.570920
1.50;0.729262;0.280142;0.384145;118528;0.567484
1.50;0.729262;0.280142;0.384145;118528;0.567484
1.51;0.726630;0.276090;0.379959;119256;0.564023
1.52;0.724000;0.272084;0.375807;119997;0.560536
1.53;0.721371;0.268125;0.371688;120754;0.557026
1.54;0.718745;0.264212;0.367602;121524;0.553493
1.55;0.716121;0.260346;0.363550;122309;0.549940
1.56;0.713499;0.256525;0.359532;123109;0.546367
1.57;0.710879;0.252751;0.355547;123924;0.542775
1.58;0.708262;0.249022;0.351595;124753;0.539167
1.59;0.705648;0.245338;0.347678;125598;0.535542
1.60;0.703037;0.241700;0.343794;126457;0.531903
1.61;0.700429;0.238106;0.339943;127331;0.528251
1.62;0.697824;0.234557;0.336127;128221;0.524586
1.63;0.695222;0.231053;0.332344;129126;0.520910
1.64;0.692624;0.227592;0.328594;130046;0.517224
1.65;0.690030;0.224176;0.324879;130982;0.513529
1.66;0.687439;0.220803;0.321196;131933;0.509826
1.67;0.684852;0.217473;0.317548;1329;0.506116
1.68;0.682270;0.214187;0.313933;133883;0.502400
1.69;0.679691;0.210943;0.310351;134882;0.498680
1.70;0.677117;0.207741;0.306803;135897;0.494955
1.71;0.674547;0.204582;0.303288;136928;0.491228
1.72;0.671982;0.201464;0.299806;137975;0.487499
1.73;0.669421;0.198388;0.296358;139039;0.483768
1.74;0.666865;0.195353;0.292942;14012;0.480038
1.75;0.664314;0.192358;0.289559;141217;0.476308
1.76;0.661768;0.189404;0.286209;142331;0.472580
1.77;0.659227;0.186490;0.282892;143462;0.468854
1.78;0.656691;0.183616;0.279608;144611;0.465131
1.79;0.654161;0.180781;0.276355;145776;0.461412
1.80;0.651636;0.177985;0.273136;146959;0.457698
1.81;0.649116;0.175228;0.269948;14816;0.453989
1.82;0.646602;0.172508;0.266792;149378;0.450287
1.83;0.644094;0.169827;0.263669;150614;0.446591
1.84;0.641592;0.167184;0.260577;151868;0.442903
1.85;0.639095;0.164577;0.257516;153141;0.439223
1.86;0.636605;0.162008;0.254487;154431;0.435551
1.87;0.634120;0.159474;0.251489;155741;0.431890
1.88;0.631642;0.156977;0.248523;157069;0.428238
1.89;0.629170;0.154516;0.245587;158416;0.424597
1.90;0.626704;0.152090;0.242682;159782;0.420967
1.91;0.624244;0.149698;0.23980;161167;0.417349
1.92;0.621792;0.147342;0.236963;162572;0.413743
1.93;0.619345;0.145019;0.234149;163996;0.410150
1.94;0.616905;0.142731;0.231366;16544;0.406570
1.95;0.614472;0.140475;O.Z28611;166904;0.403004
1.96;0.612046;0.138253;0.225887;168388;0.399452
1.97;0.609627;0.136064;0.223192;169892;0.395915
1.98;0.607214;0.133906;0.220526;171417;0.392393
1.99;0.604808;0.131781;0.217889;172962;0.388887
2.00;0.602410;0.129687;0.21581;174529;0.385396
2.00;0.602410;0.129687;0.215281;174529;0.385396
2.02;0.597634;0.125593;0.210150;177726;0.378464
2.04;0.592886;0.121620;0.205133;181008;0.371601
2.06;0.588168;0.117766;0.200226;184379;0.364807
2.08;0.583480;0.114028;0.195428;187839;0.358087
2.10;0.578821;0.110403;0.190738;191391;0.351443
2.12;0.574193;0.106888;0.186154;195035;0.344875
2.14;0.569595;0.103480;0.181673;198775;0.338387
2.16;0.565028;0.1001767;0.177295;202611;0.331979
2.18;0.560492;0.0969749;0.173017;206547;0.325654
2.20;0.555988;0.0938721;0.168838;210583;0.319413
2.22;0.551515;0.0908655;0.164756;214722;0.313256
2.24;0.547075;0.0879526;0.160769;218966;0.307184
2.26;0.542666;0.0851307;0.156875;223317;0.301199
2.28;0.538290;0.0823973;0.153072;227777;0.295301
2.30;0.533946;0.0797499;0.149360;232348;0.289491
2.32;0.529634;0.0771861;0.145735;237034;0.283769
2.34;0.525355;0.0747035;0.142196;241835;0.278135
2.36;0.521109;0.0722997;0.138742;246754;0.272590
2.38;0.516896;0.0699725;O.H5371;251795;0.267134
2.40;0.512715;0.0677195;0.132080;256958;0.261766
2.42;0.508568;0.0655386;0.128869;262248;0.256486
2.44;0.504453;0.0634276;0.125735;267665;0.251295
2.46;0.500372;0.0613845;0.122678;273213;0.246192
2.48;0.456323;0.0594072;0.119695;278895;0.241176
2.50;0.492308;0.0574937;0.116784;284713;0.236248
2.52;0.488325;0.0556421;O.113945;29067;0.231406
2.54;0.484375;0.0538504;0.111175;296769;0.226651
2.56;0.480459;0.0521168;0.108473;303012;0.221981
2.58;0.476575;0.0504395;0.105838;309403;0.217396
2.60;0.472724;0.0488168;0.103267;315944;0.212895
2.62;0.468905;0.0472470;0.100760;322639;0.208477
2.64;0.465120;0.0457283;0.098315;32949;0.204142
2.66;0.461367;0.0442592;0.095931;336501;0.199889
2.68;0.457646;0.0428382;0.093606;343675;0.195716
2.70;0.453957;0.0414636;0.091338;351016;0.191624
2.72;0.450301;0.0401340;0.089127;358525;0.187610
2.74;0.446677;0.0388480;0.086971;366208;0.183674
2.76;0.443085;0.0376041;0.084869;374066;0.179815
2.78;0.439525;0.0364010;0.082819;382105;0.176032
2.80;0.435996;0.0352375;0.080821;390326;0.172325
2.82;0.432499;0.0341121;0.078872;398735;0.168691
2.84;0.429033;0.0330237;0.076972;407334;0.165129
2.86;0.425598;0.0319710;0.075120;416128;0.161640
2.88;0.422195;0.0309530;0.073315;425119;0.158221
2.90;0.418822;0.0299684;O.o71554;434313;0.154872
2.92;0.415480;0.0290162;0.069838;443712;0.151591
2.94;0.412168;0.0280953;0.068165;453321;0.148378
2.96;0.408887;0.0272047;0.066533;463144;0.145231
2.98;0.405636;0.0263433;0.064943;473185;0.142149
3.00;0.4024142;0.0255103;0.063393;483448;0.1391314
3.02;0.399223;0.0247046;0.061882;493938;0.1361766
3.04;0.396061;0.0239254;0.060408;504659;0.1332838
3.06;0.392928;0.0231718;0.058972;515615;0.1304518
3.08;0.389825;0.0224429;0.057572;526810;0.1276795
3.10;0.386750;0.0217380;0.056207;538250;0.1249658
3.12;0.383704;0.0210561;0.054876;549938;0.1223098
3.14;0.380686;0.0203967;0.053579;561881;0.1197102
3.16;0.377697;0.0197588;0.052314;574081;0.1171661
3.18;0.374736;0.0191418;0.051081;586545;0.1146764
3.20;0.371802;0.0185451;0.049879;599276;0.1122401
3.22;0.368897;0.0179678;0.048707;612281;0.1098561
3.24;0.366018;0.0174094;0.047564;625564;0.1075235
3.26;0.363167;0.0168692;0.046450;639130;0.1052412
3.28;0.360343;0.0163467;0.045364;652985;0.1030082
3.30;0.357545;0.0158412;0.044305;667134;0.1008236
3.32;0.354774;0.0153522;0.043273;681582;0.0986864
3.34;0.352029;0.0148790;0.042266;696334;0.0965956
3.36;0.349310;0.0144213;0.041285;711397;0.0945503
3.38;0.346617;0.0139784;0.040328;726776;0.0925496
3.40;0.343950;0.0135499;0.039395;742477;0.0905925
3.42;o:341308;0.0131352;0.038485;758505;0.0886782
3.44;0.338691;0.0127340;0.037598;774866;0.0868058
3.46;0.336099;0.0123458;0.036733;791567;0.0849743
3.48;0.333532;0.0119701;0.035889;808613;0.0831830
3.50;0.330989;0.0116065;0.035066;876011;0.0814309
3.52;0.328470;0.0112547;0.034264;843767;0.0797174
3.54;0.325976;0.0109i41;0.033481;861887;0.0780414
3.56;0.323505;0.0105845;0.032718;880377;0.0764023
3.58;0.321058;0.0102655;0.031974;899245;0.0747992
3.60;0.318634;0.0099567;0.031248;91850;0.0732314
3.62;0.316233;0.0096578;0.030540;93814;0.0716981
3.64;0.313855;0.0093684;0.029849;95818;0.0701986
3.66;0.311500;0.0090883;0.029176;97862;0.0687321
3.68;Q.309167;0.0088171;0.028519;99948;0.0672979
3.70;0.306857;0.0085545;0.027878;102075;0.0658954
3.72;0.304568;0.0083003;0.027253;104245;0.0645237
3.74;0.302302;0.0080541;0.026643;106458;0.0631822
3.76;0.300057;0.0078158;0.026048;108716;0.0618704
3.78;0.297833;0.0075849;0.025467;111018;0.0605874
3.80;0.295631;0.0073614;0,024901;113366;0.0593327
3.82;0.293449;0.0071449;0.024348;115760;0.0581057
3.84;0.291288;0.0069352;0.023809;118201;0.0569057
3.86;0.289148;0.0067321;0.023283;120690;0.0557321
3.88;0.287028;0.0065354;0.022769;123227;0.0545843
3.90;0.284929;0.0063449;0.022268;125815;0.0534618
3.92;0.282849;0.0061603;0.021779;128452;0.0523641
3.94;0.280769;0.0059814;0.021302;131141;0.0512904
3.96;0.278748;0.0058082;0.020837;133882;0.0502404
3.98;0.276727;0.0056403;0.020382;136676;0.0492134
4.00;0.274725;0.0054776;0.019939;139523;0.0482090
